time,tx_pkts,rx_pkts
1658536701.703041,58075340,58079289
1658536702.7044146,116157812,116160890
1658536703.705718,174235635,174238375
1658536704.7069416,232309870,232311546
1658536705.7081406,290381409,290382988
1658536706.7093332,348452623,348454117
1658536707.7105384,406523897,406525937
1658536708.711752,464596353,464598230
1658536709.712953,522668270,522669855
1658536710.714128,580738509,580739987
1658536711.7153127,638808833,638810595
1658536712.7165117,696880080,696882062
1658536713.7176948,754950785,754952656
1658536714.7188647,813020997,813022437
1658536715.7200592,871092098,871093657
1658536716.7213302,929166342,929169097
1658536717.7226992,987246731,976326417
1658536718.724018,1045326053,1020868869
1658536719.7253416,1103404342,1065411535
1658536720.7267005,1161485473,1109955791
1658536721.7280889,1219567712,1154501326
1658536722.7294514,1277648588,1203928954
1658536723.7308433,1335731381,1262011651
1658536724.7322109,1393812484,1320092902
1658536725.7335865,1451894167,1378174591
1658536726.7349694,1509976357,1436256732
1658536727.7363405,1568057908,1494338248
1658536728.7377129,1626139303,1552419743
1658536729.7390807,1684220885,1610501047
1658536730.7404487,1742301958,1668582290
1658536731.741823,1800383599,1726663939
1658536732.743174,1858464056,1784744259
1658536733.7445352,1916544607,1842825126
1658536734.7459147,1974626622,1900907065
1658536735.7472835,2032707993,1958988389
1658536736.7486663,2090790236,2017070562
1658536737.7500398,2148871751,2075152134
1658536738.7514088,2206951505,2133233342
1658536739.7527614,2265033735,2191313867
1658536740.7532032,2323061286,2249341448
1658536741.7535858,2381085015,2307365584
1658536742.7549605,2439166892,2365447238
1658536743.7563317,2497248355,2423528719
1658536744.7567773,2555275889,2481556433
1658536745.7573037,2613308230,2539588894
1658536746.7586675,2671389581,2597669965
1658536747.760108,2729475095,2655755462
1658536748.7614644,2787555602,2713836020
1658536749.7628434,2845637473,2771917979
1658536750.764199,2903718155,2829998564
1658536751.7655864,2961800527,2888080957
1658536752.7669103,3019879448,2946159698
1658536753.768105,3077952546,3004231181
1658536754.7692626,3136021537,3062300226
1658536755.7697496,3194049483,3120330167
1658536756.7702038,3252077900,3178358487
1658536757.7715511,3310158214,3236438556
1658536758.7729108,3368238911,3294519328
1658536759.7742908,3426320871,3352601308
1658536760.7756412,3484401291,3410681609
1658536761.776989,3542481256,3468761694
1658536762.7783372,3600561342,3526841811
1658536763.7797222,3658643811,3584924141
1658536764.78109,3716725002,3643005363
1658536765.7824378,3774805035,3701085455
1658536766.783788,3832885363,3759165705
1658536767.7851634,3890967119,3817247471
1658536768.785649,3948997011,3875277536
1658536769.7870147,4007078230,3933358658
1658536770.7883875,4065159948,3991440270
1658536771.7897594,4123241396,4049521757
1658536772.7911303,4181322782,4107603187
1658536773.7925096,4239404766,4165685140
1658536774.7938786,4297486164,4223766518
1658536775.7952528,4355567746,4281848121
1658536776.7966251,4413649362,4339929647
1658536777.7979844,4471730130,4398010414
1658536778.799363,4529811901,4456092290
1658536779.8007448,4587893999,4511228345
1658536780.8021066,4645975104,4555772758
1658536781.803474,4704056250,4600317336
1658536782.8048346,4762137184,4644861935
1658536783.8062334,4820220213,4689505566
1658536784.8075976,4878301240,4734050017
1658536785.8089705,4936382733,4783071258
1658536786.8103406,4994464089,4841152654
1658536787.8117194,5052546021,4899234590
1658536788.8130937,5110627702,4957316219
1658536789.8144703,5168709476,5015398008
1658536790.8158321,5226790428,5073478977
1658536791.817207,5284872156,5131560635
1658536792.8185313,5342950976,5189639347
1658536793.8197756,5401026401,5247713627
1658536794.8210053,5459099683,5305786916
1658536795.822234,5517172848,5363860093
1658536796.8235874,5575251795,5421940345
1658536797.8250115,5633336031,5480024879
1658536798.8264005,5691418819,5538107401
1658536799.8277733,5749500497,5596189048
1658536800.8291392,5807581639,5654270171
1658536801.8305037,5865662694,5712351216
1658536802.8318624,5923743547,5770432010
1658536803.8332396,5981825391,5828513795
1658536804.8345358,6039902672,5886590846
1658536805.835754,6097976500,5944663551
1658536806.8369813,6156048652,6002736593
1658536807.8381858,6214121557,6060808646
1658536808.839375,6272192434,6118879539
1658536809.8406425,6330266950,6176954865
1658536810.8419337,6388343646,6235031728
1658536811.843208,6446419762,6293107579
1658536812.8439665,6504465165,6351153296
1658536813.845229,6562541061,6409228691
1658536814.846412,6620612479,6467299338
1658536815.847581,6678681958,6525369048
1658536816.848755,6736752278,6583439161
1658536817.8499253,6794822427,6641509023
1658536818.851089,6852891660,6699578422
1658536819.8522363,6910960158,6757646906
1658536820.853555,6960000000,6806685349
