time,tx_pkts,rx_pkts
1659106154.086579,58077375,58081223
1659106155.0880706,116165455,116169637
1659106156.0894961,174250728,174254333
1659106157.0910282,232340064,232345038
1659106158.0924644,290426712,290430432
1659106159.0938747,348510765,348514248
1659106160.095284,406594455,406597917
1659106161.0966792,464677443,464680842
1659106162.0980713,522760000,522763500
1659106163.09948,580843714,580847160
1659106164.10088,638926896,638930347
1659106165.102284,697010249,697013713
1659106166.103689,755093741,755097199
1659106167.1050873,813176773,813180221
1659106168.1064892,871260049,871263516
1659106169.1079006,929343960,929347344
1659106170.1093059,987427297,978109007
1659106171.110684,1045509154,1022654121
1659106172.1121228,1103594423,1067202027
1659106173.1135206,1161677786,1111748587
1659106174.1149242,1219761166,1156294835
1659106175.1163282,1277844496,1204118040
1659106176.117725,1335927427,1262201016
1659106177.1191134,1394009945,1320283490
1659106178.1205223,1452093609,1378367172
1659106179.1219463,1510178107,1436451707
1659106180.1233516,1568261563,1494535219
1659106181.1247618,1626345394,1552618949
1659106182.1261601,1684428442,1610702011
1659106183.127547,1742510894,1668784425
1659106184.1289606,1800594390,1726868338
1659106185.1303623,1858678074,1784951634
1659106186.131758,1916760934,1843034522
1659106187.1331725,1974845062,1901118564
1659106188.1345758,2032928277,1959201893
1659106189.1360142,2091013657,2017287302
1659106190.1373975,2149095941,2075369473
1659106191.138814,2207178982,2133453597
1659106192.1402283,2265263988,2191537573
1659106193.1416035,2323345877,2249619333
1659106194.142982,2381427704,2307701244
1659106195.1443603,2439509627,2365783146
1659106196.1457717,2497593458,2423867004
1659106197.1471767,2555676764,2481950383
1659106198.148554,2613758672,2540032244
1659106199.1499555,2671841948,2598115497
1659106200.1513617,2729925493,2656199043
1659106201.1527367,2788007231,2714280771
1659106202.154145,2846090786,2772364392
1659106203.1555262,2904172862,2830446417
1659106204.1569357,2962256611,2888530192
1659106205.158319,3020338827,2946612371
1659106206.159703,3078420990,3004694600
1659106207.1610875,3136503297,3062776860
1659106208.1625001,3194587194,3120860779
1659106209.1639135,3252671068,3178944702
1659106210.1653028,3310753669,3237027260
1659106211.1666799,3368835564,3295109091
1659106212.1681128,3426920585,3353194133
1659106213.1695201,3485004135,3411277712
1659106214.1709113,3543086988,3469360405
1659106215.1723762,3601172273,3527447136
1659106216.1738062,3659258530,3585532194
1659106217.175193,3717340987,3643614582
1659106218.1765711,3775422896,3701696523
1659106219.1779866,3833506967,3759780567
1659106220.1793966,3891590782,3817864326
1659106221.1807747,3949672656,3875946202
1659106222.1821535,4007754509,3934028120
1659106223.1835744,4065838894,3992112542
1659106224.184986,4123922666,4050196311
1659106225.1864142,4182007542,4108281154
1659106226.1878054,4240090289,4166363831
1659106227.1891842,4298172161,4224445741
1659106228.1905897,4356255607,4282529210
1659106229.19204,4414341689,4340615276
1659106230.1934268,4472424186,4398697735
1659106231.1948342,4530506233,4456781246
1659106232.196247,4588591555,4514865171
1659106233.197632,4646673882,4562265874
1659106234.1990325,4704757178,4606811991
1659106235.2004116,4762838988,4651357408
1659106236.2018263,4820923118,4695904166
1659106237.2032027,4879004976,4740547489
1659106238.2045827,4937086721,4785092626
1659106239.2059884,4995170299,4841856360
1659106240.207401,5053254179,4899940234
1659106241.2087798,5111336219,4958022204
1659106242.2101583,5169418083,5016104113
1659106243.211538,5227500088,5074186111
1659106244.2129433,5285583470,5132269546
1659106245.2143462,5343666947,5190352907
1659106246.2157266,5401748854,5248434913
1659106247.2171128,5459831312,5306517301
1659106248.2185206,5517914853,5364600903
1659106249.219922,5575998159,5422684177
1659106250.2213018,5634080120,5480766120
1659106251.2226775,5692161945,5538847917
1659106252.22411,5750246954,5596932931
1659106253.2254884,5808328814,5655014874
1659106254.2268825,5866411773,5713097662
1659106255.228278,5924494459,5771180520
1659106256.229689,5982578285,5829264349
1659106257.2310693,6040660299,5887346381
1659106258.2324538,6098742575,5945428653
1659106259.233859,6156826145,6003512147
1659106260.2352676,6214909715,6061595747
1659106261.23667,6272993018,6119679079
1659106262.238049,6331075012,6177761000
1659106263.2394648,6389159040,6235845087
1659106264.2408707,6447242548,6293928603
1659106265.2422552,6505324722,6352010851
1659106266.2436585,6563408303,6410094261
1659106267.245036,6621490118,6468176084
1659106268.2464442,6679573648,6526259678
1659106269.2478485,6737657031,6584343088
1659106270.24923,6795739151,6642425204
1659106271.2506394,6853822922,6700508937
1659106272.2520678,6911907627,6758593658
1659106273.2534463,6960000000,6806682553
