time,tx_pkts,rx_pkts
1657936463.987759,58074268,41722133
1657936464.9891388,116156417,83447345
1657936465.990531,174239125,125173056
1657936466.9918947,232320207,166897611
1657936467.9932547,290401102,208622012
1657936468.9946356,348482857,250347265
1657936469.9960513,406567246,292073998
1657936470.99742,464648531,333798708
1657936471.998795,522729266,375523703
1657936473.00016,580811471,417248316
1657936474.0015123,638891830,458972424
1657936475.0028849,696973522,500697337
1657936476.0042584,755055044,542422286
1657936477.0056174,813135856,584146608
1657936478.006977,871216632,625870994
1657936479.0083356,929297332,667595270
1657936480.0096953,987378243,709319728
1657936481.0110605,1045459385,751044293
1657936482.0124145,1103539883,792768447
1657936483.0137794,1161620972,834493006
1657936484.015139,1219701809,876217382
1657936485.0165932,1277786213,917945553
1657936486.0179849,1335870794,959671403
1657936487.0193493,1393951865,1001395964
1657936488.0207138,1452033038,1043120533
1657936489.0221066,1510115751,1084846301
1657936490.0234845,1568197717,1126571459
1657936491.0248454,1626278613,1168295876
1657936492.026206,1684359425,1210020279
1657936493.0275671,1740000000,1249989278
