time,tx_pkts,rx_pkts
1658536671.1413333,58074358,58077862
1658536672.1427238,116157230,116160519
1658536673.1441243,174240463,174243681
1658536674.1454937,232321873,232325039
1658536675.1468813,290404361,290407454
1658536676.1482532,348485829,348488978
1658536677.1496222,406567148,406570313
1658536678.1509888,464648401,464651483
1658536679.1523619,522729921,522733075
1658536680.1537359,580811557,580814707
1658536681.1551056,638892881,638896066
1658536682.156478,696974492,696977621
1658536683.157848,755055930,755059009
1658536684.1592178,813137324,813140445
1658536685.1605947,871218999,871222176
1658536686.1619656,929300372,929303610
1658536687.163329,987381501,987384645
1658536688.1646476,1045460008,1045462991
1658536689.1658866,1103534893,1103536948
1658536690.1670952,1161607276,1161609029
1658536691.1683018,1219679283,1219681015
1658536692.1695237,1277751705,1277753785
1658536693.1707222,1335823611,1335825290
1658536694.1719525,1393896642,1393898528
1658536695.1731644,1451968896,1451970736
1658536696.1745193,1510047827,1510051087
1658536697.1758952,1568129643,1568132837
1658536698.177272,1626211412,1626214625
1658536699.178643,1684292852,1684296072
1658536700.1800392,1740000000,1740000000
