time,tx_pkts,rx_pkts
1659106123.521588,58142750,58146386
1659106124.523021,116227849,116231454
1659106125.524451,174312855,174316362
1659106126.525877,232397450,232401018
1659106127.5272932,290481606,290485119
1659106128.5287156,348566034,348569605
1659106129.530137,406650439,406653979
1659106130.531552,464734398,464737990
1659106131.532977,522819082,522822650
1659106132.5343966,580903339,580906924
1659106133.5358164,638987688,638991226
1659106134.537247,697072416,697076142
1659106135.5386498,755156004,755159528
1659106136.5400832,813241051,813244660
1659106137.5415053,871325536,871329041
1659106138.5429292,929410073,929413596
1659106139.5443404,987493866,987497414
1659106140.5457628,1045578293,1045581865
1659106141.547153,1103661010,1103664488
1659106142.5485804,1161745647,1161749209
1659106143.5500023,1219830098,1219833692
1659106144.5514164,1277914067,1277917625
1659106145.5528371,1335998437,1336002009
1659106146.5542567,1394082625,1394086273
1659106147.555657,1452165951,1452169495
1659106148.5570836,1510250609,1510254152
1659106149.558535,1568336302,1568340323
1659106150.5599344,1626419947,1626423492
1659106151.5613518,1684504075,1684507626
1659106152.5627959,1740000000,1740000000
