time,tx_pkts,rx_pkts
1659134837.6288197,96270687,96275655
1659134838.6301582,192552883,192557711
1659134839.631509,288836252,288840887
1659134840.6320689,385040735,385047757
1659134841.6334443,481328796,481333522
1659134842.63482,577612665,577619163
1659134843.63617,673897981,673902289
1659134844.637543,770182785,770187576
1659134845.6389067,866467320,866471994
1659134846.6402173,962746999,962751304
1659134847.6415687,1059029968,1059034632
1659134848.642936,1155314298,1155319239
1659134849.6442382,1251593627,1251597821
1659134850.6455991,1347877231,1347882055
1659134851.6469631,1444161849,1444166489
1659134852.6483343,1540446013,1540450488
1659134853.6497016,1636731826,1605125563
1659134854.6510136,1733011482,1662804523
1659134855.6523151,1829290456,1720482873
1659134856.6536677,1925572900,1778164241
1659134857.655026,2021856857,1835845862
1659134858.6563895,2118141219,1907923592
1659134859.6577406,2214424500,2004206809
1659134860.659045,2310703114,2100485419
1659134861.660409,2406987637,2196769986
1659134862.6617768,2503272185,2293054765
1659134863.6631389,2599556717,2389339061
1659134864.664498,2695840476,2485623054
1659134865.665862,2792125040,2581907557
1659134866.66722,2888408970,2678191447
1659134867.668581,2984693357,2774475641
1659134868.6699436,3080977412,2870759840
1659134869.6713061,3177261957,2967044276
1659134870.6726696,3273546276,3063328670
1659134871.6740272,3369830263,3159612475
1659134872.6753926,3466114587,3255897023
1659134873.676755,3562399047,3352181342
1659134874.6781375,3658684965,3448467672
1659134875.679524,3754971471,3544754203
1659134876.680898,3851257040,3641039634
1659134877.6822689,3947542049,3737324372
1659134878.6836517,4043828316,3833611084
1659134879.685014,4140112716,3929895332
1659134880.6863756,4236396960,4026179461
1659134881.687681,4332676285,4122458339
1659134882.6890411,4428959903,4218742443
1659134883.6903944,4525243629,4315025886
1659134884.691753,4621527364,4411309798
1659134885.693133,4717813422,4507595785
1659134886.694489,4814097138,4603879476
1659134887.695876,4910383621,4700166114
1659134888.6972382,5006667896,4796450428
1659134889.698596,5102952073,4892734315
1659134890.6999493,5199234603,4989017597
1659134891.701313,5295519765,5085302128
1659134892.702692,5391805270,5181588006
1659134893.7040837,5488092903,5277875153
1659134894.7055182,5584381804,5337080929
1659134895.706927,5680672444,5394765565
1659134896.7082374,5776952039,5452444888
1659134897.7096157,5873237531,5510146743
1659134898.710996,5969523516,5567861108
1659134899.7123654,6065808895,5628386988
1659134900.7137933,6162097489,5724677548
1659134901.7151728,6258385179,5820963685
1659134902.7165418,6354670082,5917248573
1659134903.7174807,6450913625,6013492092
1659134904.7188451,6547198303,6109776655
1659134905.720205,6643482346,6206060726
1659134906.7215443,6739764418,6302342750
1659134907.7229137,6836049326,6398627758
1659134908.7243428,6932337904,6494918377
1659134909.7257082,6960000000,6522573495
