time,tx_pkts,rx_pkts
1659134818.0816936,96274277,76612869
1659134819.0831084,192563162,172902281
1659134820.0844564,288846904,269185222
1659134821.0858002,385129321,365467744
1659134822.087136,481411239,461749541
1659134823.0884728,577693012,558031312
1659134824.0898128,673975202,654313527
1659134825.0911536,770257309,750595719
1659134826.092494,866539450,846877892
1659134827.093836,962821884,943160278
1659134828.095173,1059103909,1039442100
1659134829.0965168,1155386404,1135724713
1659134830.0978556,1251668289,1232006658
1659134831.099222,1347952981,1328291393
1659134832.1005666,1444235667,1424573948
1659134833.1019104,1540518026,1520856474
1659134834.1032517,1636800612,1617138860
1659134835.1046143,1733084673,1713423079
1659134836.1050513,1740000000,1720333516
