time,tx_pkts,rx_pkts
1657936139.9015875,58075771,41724098
1657936140.9029603,116158807,83448984
1657936141.9043376,174240532,125174065
1657936142.905702,232321760,166898708
1657936143.9070797,290403591,208623815
1657936144.908445,348484956,250348434
1657936145.9098196,406566672,292073462
1657936146.9111743,464647185,333797611
1657936147.9125507,522729086,375522695
1657936148.9139056,580809604,417246884
1657936149.9152563,638889891,458970868
1657936150.9166183,696970679,500695345
1657936151.9179869,755052054,542420099
1657936152.9193637,813133783,584145183
1657936153.920736,871215312,625870090
1657936154.9220986,929296334,667594556
1657936155.9234722,987377968,709319556
1657936156.9248524,1045460050,751044820
1657936157.926223,1103541457,792769629
1657936158.9275975,1161623224,834494630
1657936159.928967,1219704528,876219406
1657936160.930347,1277786593,917944649
1657936161.931717,1335867984,959669455
1657936162.933085,1393949283,1001394173
1657936163.9344556,1452030750,1043119010
1657936164.9358356,1510112791,1084844242
1657936165.9372048,1568194222,1126569040
1657936166.9385736,1626275518,1168293791
1657936167.939965,1684358184,1210019483
1657936168.9413445,1740000000,1249989458
