time,tx_pkts,rx_pkts
1657936494.5525358,58075164,41722867
1657936495.55392,116157426,83448257
1657936496.555328,174241109,125174648
1657936497.5567117,232323319,166900042
1657936498.5580914,290405335,208625264
1657936499.5594692,348487261,250350386
1657936500.5608644,406570051,292076222
1657936501.5622766,464653954,333802772
1657936502.5636687,522736732,375528513
1657936503.5650508,580818774,417253818
1657936504.5664465,638901701,458979694
1657936505.567828,696983823,500704999
1657936506.5692058,755065683,542430129
1657936507.5705888,813147830,584155466
1657936508.5720208,871232874,625882845
1657936509.573436,929317012,667609556
1657936510.5748744,987402217,709337190
1657936511.576275,1045485608,751063287
1657936512.577667,1103568198,792788980
1657936513.579069,1161651560,834515140
1657936514.5804732,1219735025,876241350
1657936515.5818563,1277817114,917966713
1657936516.583265,1335900824,959693148
1657936517.5846653,1393983967,1001419225
1657936518.5860722,1452067627,1043145569
1657936519.5874903,1510151841,1084872393
1657936520.5889454,1568237624,1126600725
1657936521.590361,1626322229,1168327447
1657936522.5917451,1684404548,1210052854
1657936523.5931215,1742486325,1251777915
1657936524.5945127,1800569000,1293503606
1657936525.595888,1858650648,1335228601
1657936526.5972836,1916733643,1376954493
1657936527.598662,1974815441,1418679652
1657936528.6000934,2032900495,1460407019
1657936529.6014736,2090982483,1502132231
1657936530.6028702,2149065537,1543858151
1657936531.6042514,2207147557,1585583430
1657936532.605647,2265230530,1627309322
1657936533.607026,2323312452,1669034467
1657936534.608413,2381394816,1710759985
1657936535.6098053,2439477512,1752485733
1657936536.6112056,2497560736,1794211821
1657936537.612588,2555642786,1835937114
1657936538.613968,2613724901,1877662361
1657936539.6153538,2671807246,1919387818
1657936540.6167488,2729890145,1961113673
1657936541.6181245,2787971914,2002838713
1657936542.6195216,2846054870,2044564637
1657936543.6209075,2904137167,2086290104
1657936544.622298,2962219911,2128015769
1657936545.6236818,3020302134,2169741160
1657936546.6250625,3078384093,2211466391
1657936547.6264393,3136465875,2253191479
1657936548.6278307,3194548673,2294917192
1657936549.629213,3252630772,2336642516
1657936550.630591,3310712658,2378367650
1657936551.6320035,3368796494,2420094212
1657936552.6333942,3426879246,2461819919
1657936553.6347873,3484961093,2503545638
1657936554.636168,3543044066,2545270935
1657936555.6375465,3601125863,2586996020
1657936556.63894,3659208716,2628721878
1657936557.6403234,3717290872,2670447213
1657936558.6416981,3775372639,2712172242
1657936559.6431084,3833456431,2753898722
1657936560.6445134,3891539847,2795624961
1657936561.645931,3949624385,2837351804
1657936562.6473289,4007707145,2879077740
1657936563.6487007,4065788739,2920802624
1657936564.6501274,4123873287,2962529757
1657936565.6515136,4181955688,3004255254
1657936566.652895,4240037733,3045980540
1657936567.654306,4298121619,3087707090
1657936568.6557004,4356204447,3129432887
1657936569.657082,4414286612,3171158208
1657936570.6584918,4472370364,3212884663
1657936571.6598866,4530453172,3254610493
1657936572.661289,4588536416,3296336638
1657936573.6627257,4646621754,3338064217
1657936574.664151,4704706379,3379791353
1657936575.6655495,4762789224,3421517295
1657936576.6669526,4820872854,3463243525
1657936577.668334,4878954910,3504968812
1657936578.6697483,4937038945,3546695449
1657936579.6711493,4995122048,3588421555
1657936580.6725535,5053205395,3630147767
1657936581.6739824,5111290510,3671875059
1657936582.6753683,5169372670,3713600481
1657936583.6767523,5227454932,3755325893
1657936584.6780846,5285534642,3797049120
1657936585.6793954,5343612470,3838771455
1657936586.6807911,5401694952,3880497334
1657936587.6821904,5459778292,3922223383
1657936588.6835928,5517861514,3963949530
1657936589.6850007,5575945263,4005675926
1657936590.6864057,5634028567,4047402160
1657936591.6877892,5692110922,4089127565
1657936592.6891992,5750194696,4130854031
1657936593.6905773,5808276582,4172579178
1657936594.6919777,5866359699,4214305240
1657936595.6933908,5924443674,4256031854
1657936596.6947992,5982526083,4297758239
1657936597.6962197,6040611513,4339485159
1657936598.6976216,6098695241,4381211335
1657936599.6990063,6156777318,4422936735
1657936600.7004056,6214860314,4464662739
1657936601.7018058,6272943587,4506388831
1657936602.7031806,6331025232,4548113808
1657936603.704597,6389109255,4589840544
1657936604.7059877,6447191944,4631566224
1657936605.7073684,6505273993,4673291472
1657936606.7087781,6563357718,4715017910
1657936607.710161,6621439829,4756743257
1657936608.7115564,6679522761,4798469125
1657936609.7129667,6737606597,4840195617
1657936610.714404,6795691812,4881923223
1657936611.7157857,6853773989,4923648549
1657936612.7171783,6911856810,4965374293
1657936613.71859,6960000000,4999957140
