time,tx_pkts,rx_pkts
1659988776.0410483,96281908,96289739
1659988777.042515,192577075,192584052
1659988778.0439746,288870363,288877749
1659988779.0454695,385167136,385174854
1659988780.0469742,481465448,481472935
1659988781.0484467,577759613,577767691
1659988782.0499089,674053941,674061527
1659988783.0513804,770348703,770356405
1659988784.0528672,866644818,866652589
1659988785.053382,962847735,962855412
1659988786.0548801,1059146494,1059153001
1659988787.055542,1155362201,1155369688
1659988788.0570207,1251657922,1251665196
1659988789.0575461,1347861953,1347869057
1659988790.0590346,1444158176,1444165604
1659988791.0605166,1540453987,1540461472
1659988792.0619931,1636749504,1636756644
1659988793.0625057,1732952032,1732959255
1659988794.063974,1829246752,1829253818
1659988795.0654554,1925541630,1925549307
1659988796.0669584,2021840519,2021847463
1659988797.0675123,2118046371,2118053799
1659988798.0689962,2214342552,2214349857
1659988799.0704825,2310638690,2310646039
1659988800.0719712,2406935099,2406942570
1659988801.072511,2503139921,2503147623
1659988802.0740235,2599438665,2599446574
1659988803.0755394,2695738190,2695745634
1659988804.0761802,2791952405,2791960390
1659988805.0776877,2888251406,2888258949
1659988806.0791764,2984547746,2984555349
1659988807.080594,3080839532,3080845108
1659988808.0820713,3177133384,3177140267
1659988809.0835547,3273428990,3273436314
1659988810.0850317,3369724164,3369731541
1659988811.0865207,3466020165,3466028107
1659988812.0880232,3562317754,3562325746
1659988813.0895119,3658614407,3658622189
1659988814.0910025,3754911777,3754919029
1659988815.0924895,3851207320,3851215067
1659988816.0939708,3947504257,3947511070
1659988817.0954573,4043799364,4043807186
1659988818.0969446,4140096200,4140103550
1659988819.0984273,4236391734,4236399288
1659988820.0999026,4332687213,4332694643
1659988821.101396,4428983554,4428991476
1659988822.1028967,4525281531,4525289233
1659988823.1043777,4621577556,4621584715
1659988824.1058633,4717872873,4717880864
1659988825.107352,4814169629,4814177289
1659988826.1088457,4910466428,4910474116
1659988827.1103947,5006768655,5006776454
1659988828.1114724,5103026035,5103033393
1659988829.1129696,5199322580,5199330612
1659988830.1144552,5295619146,5295626964
1659988831.1159437,5391915429,5391923211
1659988832.1173615,5488207787,5488213171
1659988833.1188624,5584503142,5584510787
1659988834.120357,5680799928,5680807579
1659988835.1218476,5777096668,5777104234
1659988836.1224144,5873303968,5873312000
1659988837.1239104,5969601765,5969609201
1659988838.1253808,6065896610,6065904055
1659988839.1268766,6162194057,6162201183
1659988840.128361,6258489464,6258497136
1659988841.1299152,6354787272,6354798864
1659988842.1315193,6451099922,6451107300
1659988843.132999,6547395291,6547402840
1659988844.1344707,6643690822,6643697815
1659988845.1359491,6739985467,6739993179
1659988846.137423,6836280824,6836288271
1659988847.1389143,6932577801,6932585037
1659988848.1403964,6960000000,6960000000
