time,tx_pkts,rx_pkts
1659988756.4867053,96280051,73351300
1659988757.4882374,192579415,169651766
1659988758.4897368,288877653,265949329
1659988759.49027,385081605,362153866
1659988760.4917548,481379209,458450241
1659988761.4932702,577676784,554749063
1659988762.4947941,673975529,651048943
1659988763.496277,770273007,747344934
1659988764.4977643,866569599,843641223
1659988765.499217,962863203,939934294
1659988766.5006816,1059157123,1036228444
1659988767.502166,1155452495,1132524362
1659988768.5035703,1251743915,1228812984
1659988769.5049307,1348028322,1325097212
1659988770.5062885,1444311604,1421381020
1659988771.507627,1540594233,1517663044
1659988772.5089517,1636875029,1613943793
1659988773.510268,1733155011,1710223736
1659988774.511657,1740000000,1717064164
