time,tx_pkts,rx_pkts
1659988152.7009373,96270099,96277397
1659988153.7022662,192553711,192558539
1659988154.7035785,288833682,288838099
1659988155.7048879,385112982,385117426
1659988156.7061973,481391353,481396754
1659988157.7069008,577613538,577617819
1659988158.7082138,673892539,673897326
1659988159.7095344,770173150,770177727
1659988160.7109063,866457897,866463097
1659988161.7122254,962739217,962743338
1659988162.713504,1059015998,1059019812
1659988163.7147994,1155292337,1155297554
1659988164.7161055,1251572647,1251576617
1659988165.717401,1347849882,1347854457
1659988166.7188082,1444135789,1444143144
1659988167.7201083,1540417770,1540421719
1659988168.7214293,1636697817,1636702069
1659988169.722756,1732977482,1732981875
1659988170.7240427,1829255988,1829260102
1659988171.7253287,1925533030,1925537143
1659988172.7266276,2021811157,2021815478
1659988173.7280092,2118096441,2118101555
1659988174.7293203,2214376490,2214381064
1659988175.730626,2310656152,2310660146
1659988176.731955,2406935548,2406940880
1659988177.7332504,2503215392,2503219234
1659988178.7345417,2599492475,2599496716
1659988179.7358506,2695771202,2695775862
1659988180.73721,2792054842,2792059839
1659988181.7385743,2888338232,2888343544
1659988182.739944,2984624650,2984629774
1659988183.7412536,3080903460,3080909049
1659988184.742611,3177187861,3177192891
1659988185.7439642,3273472195,3273476429
1659988186.7443764,3369664636,3369669316
1659988187.7457068,3465946287,3465950763
1659988188.747013,3562225451,3562229735
1659988189.7483308,3658505621,3658509910
1659988190.7496595,3754785923,3754790929
1659988191.750977,3851066397,3851071094
1659988192.7523057,3947347906,3947352155
1659988193.7536187,4043627002,4043631780
1659988194.754931,4139906608,4139911390
1659988195.7562332,4236185880,4236190106
1659988196.757594,4332469220,4332474212
1659988197.75893,4428751370,4428756056
1659988198.7602453,4525031352,4525035995
1659988199.761546,4621310236,4621314493
1659988200.7628465,4717588764,4717592923
1659988201.7641387,4813866278,4813870573
1659988202.765435,4910144386,4910148582
1659988203.7667444,5006422500,5006426955
1659988204.7680519,5102702862,5102707012
1659988205.769352,5198981152,5198985368
1659988206.7706668,5295260551,5295265218
1659988207.7714329,5391488340,5391492300
1659988208.7727444,5487766169,5487771752
1659988209.7740467,5584046260,5584050405
1659988210.7753537,5680325236,5680329470
1659988211.776654,5776603873,5776607921
1659988212.7779567,5872882359,5872886419
1659988213.7792761,5969162688,5969166792
1659988214.7805843,6065441851,6065445981
1659988215.7818816,6161720002,6161724117
1659988216.7832115,6258000059,6258005181
1659988217.7845569,6354284366,6354288161
1659988218.78595,6450570621,6450575412
1659988219.787283,6546852858,6546857021
1659988220.788615,6643134465,6643138511
1659988221.7899587,6739416961,6739421043
1659988222.7913008,6835699139,6835703479
1659988223.7926478,6931982030,6931986453
1659988224.793042,6960000000,6960000000
