time,tx_pkts,rx_pkts
1659988133.157379,96270596,96275590
1659988134.158693,192550734,192555302
1659988135.1600695,288836750,288841146
1659988136.161379,385114684,385120423
1659988137.1626759,481394022,481398479
1659988138.1639898,577673973,577678178
1659988139.1652942,673952967,673957067
1659988140.1666837,770238769,770243964
1659988141.1680193,866521132,866525792
1659988142.1693156,962799887,962803955
1659988143.170609,1059077692,1059081651
1659988144.1719236,1155356961,1155361364
1659988145.1723187,1251547608,1251552657
1659988146.1736305,1347828104,1347832354
1659988147.1749337,1444106471,1444111093
1659988148.1762419,1540386050,1540390220
1659988149.177663,1636675328,1636680250
1659988150.1789546,1732953814,1732957916
1659988151.179415,1740000000,1740000000
