time,tx_pkts,rx_pkts
1657838832.7618167,58074783,58078054
1657838833.7631812,116156032,116159129
1657838834.7645276,174236052,174239214
1657838835.7658768,232316255,232319407
1657838836.7672496,290397747,290400991
1657838837.7686267,348479490,348482835
1657838838.7699797,406560057,406563264
1657838839.7714036,464643700,464647775
1657838840.7727833,522726526,522729767
1657838841.7741582,580808114,580811560
1657838842.7755694,638891317,638895238
1657838843.7770119,696976689,696980863
1657838844.7784736,755063051,755067574
1657838845.7799406,813150109,813154617
1657838846.7813964,871236536,871241098
1657838847.7828841,929325295,929329346
1657838848.7842822,987408823,987412441
1657838849.7856517,1045490520,1045493839
1657838850.7870119,1103571464,1103574716
1657838851.7883856,1161653167,1161656345
1657838852.789748,1219734174,1219737388
1657838853.7910972,1277814366,1277817584
1657838854.7924507,1335894928,1335898023
1657838855.793802,1393975233,1393978407
1657838856.795159,1452055960,1452059043
1657838857.7965446,1510138174,1510141351
1657838858.7979255,1568220332,1568223436
1657838859.7992764,1626300671,1626303787
1657838860.8006358,1684381436,1684384581
1657838861.8019912,1740000000,1740000000
