time,tx_pkts,rx_pkts
1657846913.1253996,58074100,58077458
1657846914.126812,116156100,116161265
1657846915.1281624,174238346,174241613
1657846916.1294813,232316966,232320033
1657846917.130874,290399482,290402711
1657846918.1322486,348481138,348484424
1657846919.1336,406561478,406564809
1657846920.134981,464643606,464646836
1657846921.1363611,522725518,522728880
1657846922.1377416,580807638,580810893
1657846923.1391292,638890029,638893334
1657846924.140502,696971634,696974914
1657846925.1418548,755052043,755055327
1657846926.1432219,813133362,813136605
1657846927.1445699,871213463,871216737
1657846928.1459394,929294913,929298151
1657846929.1473339,987377801,987380983
1657846930.1487114,1045459677,1045462838
1657846931.1500838,1103541067,1103544394
1657846932.1514647,1161623273,1161626480
1657846933.1528387,1219704841,1219708105
1657846934.1534057,1277739466,1277742910
1657846935.1548038,1335821591,1335825961
1657846936.1553783,1393857849,1393861270
1657846937.1567457,1451939360,1451942542
1657846938.1581085,1510020388,1510023560
1657846939.1594744,1568101582,1568104734
1657846940.1608357,1626182500,1626185637
1657846941.1613958,1684216679,1684220068
1657846942.1618285,1742243790,1742247080
1657846943.163181,1800324243,1800327507
1657846944.1644945,1858402476,1858405632
1657846945.1658423,1916482521,1916485762
1657846946.1671934,1974562882,1974566135
1657846947.1685474,2032643350,2032646617
1657846948.1699135,2090724639,2090727836
1657846949.1712656,2148804980,2148808195
1657846950.1726155,2206885166,2206888444
1657846951.173971,2264965752,2264969025
1657846952.175296,2323044563,2323047868
1657846953.1765075,2381118448,2381120264
1657846954.1776912,2439189200,2439190894
1657846955.1788673,2497259469,2497261092
1657846956.1800654,2555330793,2555332522
1657846957.1812382,2613400912,2613402540
1657846958.1824124,2671470552,2671472529
1657846959.18358,2729540709,2729542273
1657846960.1847668,2787611404,2787613052
1657846961.1859229,2845680702,2845682084
1657846962.1870716,2903749279,2903750660
1657846963.188217,2961817683,2961819063
1657846964.1895435,3019894413,3019897682
1657846965.1909223,3077976407,3077979631
1657846966.1922755,3136056759,3136060086
1657846967.193629,3194137239,3194140548
1657846968.195002,3252218864,3252222154
1657846969.196379,3310300699,3310303945
1657846970.1977384,3368381427,3368384775
1657846971.1990924,3426461938,3426465221
1657846972.2005043,3484545843,3484549119
1657846973.2018535,3542626061,3542629283
1657846974.2032087,3600706692,3600709915
1657846975.2045603,3658786961,3658790210
1657846976.2059362,3716868663,3716871978
1657846977.207302,3774949950,3774953179
1657846978.2086535,3833030336,3833033548
1657846979.2100165,3891111291,3891114503
1657846980.2113416,3949190226,3949193317
1657846981.2127016,4007270937,4007274187
1657846982.2140532,4065351336,4065354564
1657846983.2154014,4123431500,4123434714
1657846984.2167711,4181512920,4181516128
1657846985.2181406,4239594250,4239597489
1657846986.21949,4297674507,4297677733
1657846987.220838,4355754673,4355757874
1657846988.2212942,4413782940,4413786273
1657846989.222714,4471867294,4471870587
1657846990.224103,4529949861,4529953120
1657846991.2254715,4588031135,4588034433
1657846992.226859,4646113631,4646116899
1657846993.2282286,4704195087,4704198290
1657846994.2295973,4762276363,4762279634
1657846995.2309735,4820358144,4820361389
1657846996.2323563,4878440324,4878443562
1657846997.23373,4936521969,4936525206
1657846998.2351036,4994603635,4994606822
1657846999.2364771,5052685225,5052688432
1657847000.2377841,5110763549,5110766290
1657847001.2390215,5168838297,5168840173
1657847002.2402225,5226910189,5226911774
1657847003.2414224,5284981369,5284983359
1657847004.2426107,5343052639,5343054248
1657847005.2437887,5401123116,5401124552
1657847006.2451267,5459200568,5459203829
1657847007.2465124,5517282255,5517286159
1657847008.2479005,5575365358,5575368620
1657847009.249279,5633447631,5633450599
1657847010.2506592,5691529292,5691532572
1657847011.2520502,5749612229,5749615266
1657847012.253411,5807692856,5807696086
1657847013.2548008,5865774353,5865778601
1657847014.256171,5923856752,5923860041
1657847015.2575462,5981938524,5981941823
1657847016.2588654,6040017373,6040020209
1657847017.2600935,6098091802,6098093702
1657847018.2612886,6156163324,6156164991
1657847019.2624846,6214234598,6214236280
1657847020.2636864,6272306163,6272307953
1657847021.2648838,6330377561,6330379372
1657847022.2660923,6388449480,6388451373
1657847023.2673109,6446522312,6446524062
1657847024.2685096,6504593898,6504595550
1657847025.2698417,6562671368,6562674532
1657847026.2712138,6620752873,6620756102
1657847027.272595,6678834881,6678838113
1657847028.2739735,6736916799,6736920094
1657847029.275358,6794999018,6795002301
1657847030.2767403,6853081223,6853084424
1657847031.2781293,6911163716,6911166953
1657847032.279514,6960000000,6960000000
